"Date","home.team","away.team","home.score","away.score"
2017-12-03,"Getafe","Valencia",11,13
2017-12-03,"Las Palmas","Betis",21,8
2017-12-03,"Leganes","Villarreal",12,12
2017-12-04,"Girona","Alaves",11,9
2017-12-08,"Alaves","Las Palmas",22,6
2017-12-09,"Getafe","Eibar",6,7
2017-12-09,"La Coruna","Leganes",15,3
2017-12-09,"Real Madrid","Sevilla",20,11
2017-12-09,"Valencia","Celta",13,13
2017-12-10,"Betis","Ath Madrid",9,4
2017-12-10,"Levante","Ath Bilbao",12,14
2017-12-10,"Sociedad","Malaga",18,9
2017-12-10,"Villarreal","Barcelona",9,16
2017-12-11,"Espanol","Girona",8,12
2017-12-15,"Sevilla","Levante",16,10
2017-12-16,"Ath Bilbao","Sociedad",7,10
2017-12-16,"Ath Madrid","Alaves",10,11
2017-12-16,"Eibar","Valencia",15,7
2017-12-17,"Barcelona","La Coruna",23,10
2017-12-17,"Celta","Villarreal",10,8
2017-12-17,"Girona","Getafe",9,7
2017-12-17,"Las Palmas","Espanol",14,8
2017-12-18,"Malaga","Betis",18,10
2017-12-19,"Levante","Leganes",10,10
2017-12-20,"Getafe","Las Palmas",13,17
2017-12-20,"Sociedad","Sevilla",14,9
2017-12-21,"Alaves","Malaga",10,10
2017-12-21,"Eibar","Girona",16,6
2017-12-22,"Betis","Ath Bilbao",16,19
2017-12-22,"Espanol","Ath Madrid",7,9
2017-12-23,"La Coruna","Celta",15,7
2017-12-23,"Real Madrid","Barcelona",14,18
2017-12-23,"Valencia","Villarreal",22,9
2018-01-06,"Ath Madrid","Getafe",9,10
2018-01-06,"Las Palmas","Eibar",4,14
2018-01-06,"Sevilla","Betis",14,9
2018-01-06,"Valencia","Girona",17,11
2018-01-07,"Ath Bilbao","Alaves",14,8
2018-01-07,"Barcelona","Levante",16,9
2018-01-07,"Celta","Real Madrid",10,19
2018-01-07,"Leganes","Sociedad",8,9
2018-01-07,"Villarreal","La Coruna",11,13
2018-01-08,"Malaga","Espanol",17,6
2018-01-12,"Getafe","Malaga",7,9
2018-01-13,"Eibar","Ath Madrid",11,7
2018-01-13,"Girona","Las Palmas",15,3
2018-01-13,"La Coruna","Valencia",12,12
2018-01-13,"Real Madrid","Villarreal",28,10
2018-01-14,"Alaves","Sevilla",12,14
2018-01-14,"Espanol","Ath Bilbao",11,8
2018-01-14,"Levante","Celta",15,3
2018-01-14,"Sociedad","Barcelona",15,11
2018-01-15,"Betis","Leganes",16,10
2018-01-19,"Getafe","Ath Bilbao",17,7
2018-01-20,"Ath Madrid","Girona",9,6
2018-01-20,"Espanol","Sevilla",9,12
2018-01-20,"Las Palmas","Valencia",20,14
2018-01-20,"Villarreal","Levante",18,16
2018-01-21,"Alaves","Leganes",14,8
2018-01-21,"Betis","Barcelona",7,14
2018-01-21,"Real Madrid","La Coruna",24,5
2018-01-21,"Sociedad","Celta",16,10
2018-01-22,"Eibar","Malaga",15,10
2018-01-26,"Ath Bilbao","Eibar",7,14
2018-01-27,"La Coruna","Levante",8,15
2018-01-27,"Malaga","Girona",7,11
2018-01-27,"Valencia","Real Madrid",11,13
2018-01-27,"Villarreal","Sociedad",11,24
2018-01-28,"Ath Madrid","Las Palmas",18,9
2018-01-28,"Barcelona","Alaves",18,7
2018-01-28,"Leganes","Espanol",11,12
2018-01-28,"Sevilla","Getafe",15,7
2018-01-29,"Celta","Betis",13,7
2018-02-02,"Sociedad","La Coruna",19,4
2018-02-03,"Alaves","Celta",9,16
2018-02-03,"Betis","Villarreal",13,12
2018-02-03,"Eibar","Sevilla",17,11
2018-02-03,"Levante","Real Madrid",12,23
2018-02-04,"Ath Madrid","Valencia",14,9
2018-02-04,"Espanol","Barcelona",7,12
2018-02-04,"Getafe","Leganes",11,2
2018-02-04,"Girona","Ath Bilbao",8,9
2018-02-05,"Las Palmas","Malaga",11,9
2018-02-09,"Ath Bilbao","Las Palmas",11,8
2018-02-10,"Leganes","Eibar",2,19
2018-02-10,"Malaga","Ath Madrid",13,5
2018-02-10,"Real Madrid","Sociedad",18,8
2018-02-10,"Villarreal","Alaves",27,5
2018-02-11,"Barcelona","Getafe",12,10
2018-02-11,"Celta","Espanol",18,3
2018-02-11,"Sevilla","Girona",13,14
2018-02-11,"Valencia","Levante",18,5
2018-02-12,"La Coruna","Betis",16,10
2018-02-16,"Girona","Leganes",10,10
2018-02-17,"Alaves","La Coruna",14,5
2018-02-17,"Eibar","Barcelona",13,10
2018-02-17,"Las Palmas","Sevilla",11,12
2018-02-17,"Malaga","Valencia",9,10
2018-02-18,"Ath Madrid","Ath Bilbao",14,4
2018-02-18,"Betis","Real Madrid",20,12
2018-02-18,"Espanol","Villarreal",15,8
2018-02-18,"Sociedad","Levante",13,9
2018-02-19,"Getafe","Celta",9,4
2018-02-21,"Leganes","Real Madrid",7,13
2018-02-23,"La Coruna","Espanol",17,9
2018-02-24,"Barcelona","Girona",21,10
2018-02-24,"Celta","Eibar",8,15
2018-02-24,"Leganes","Las Palmas",11,4
2018-02-24,"Real Madrid","Alaves",25,11
2018-02-25,"Ath Bilbao","Malaga",8,8
2018-02-25,"Sevilla","Ath Madrid",10,13
2018-02-25,"Valencia","Sociedad",7,9
2018-02-25,"Villarreal","Getafe",10,3
2018-02-26,"Levante","Betis",12,15
2018-02-27,"Espanol","Real Madrid",16,12
2018-02-27,"Girona","Celta",11,10
2018-02-28,"Ath Bilbao","Valencia",11,6
2018-02-28,"Ath Madrid","Leganes",15,9
2018-02-28,"Eibar","Villarreal",13,11
2018-02-28,"Getafe","La Coruna",14,9
2018-02-28,"Malaga","Sevilla",8,6
2018-03-01,"Alaves","Levante",15,6
2018-03-01,"Betis","Sociedad",8,13
2018-03-01,"Las Palmas","Barcelona",12,10
2018-03-03,"La Coruna","Eibar",7,16
2018-03-03,"Leganes","Malaga",10,4
2018-03-03,"Real Madrid","Getafe",14,4
2018-03-03,"Sevilla","Ath Bilbao",18,10
2018-03-03,"Villarreal","Girona",14,4
2018-03-04,"Barcelona","Ath Madrid",16,6
2018-03-04,"Levante","Espanol",13,15
2018-03-04,"Sociedad","Alaves",14,3
2018-03-04,"Valencia","Betis",12,9
2018-03-05,"Celta","Las Palmas",14,10
2018-03-09,"Girona","La Coruna",9,8
2018-03-10,"Eibar","Real Madrid",12,12
2018-03-10,"Getafe","Levante",11,12
2018-03-10,"Malaga","Barcelona",6,20
2018-03-10,"Sevilla","Valencia",21,10
2018-03-11,"Ath Bilbao","Leganes",13,12
2018-03-11,"Ath Madrid","Celta",7,8
2018-03-11,"Espanol","Sociedad",18,11
