"Date","home.team","away.team","home.score","away.score"
2019-02-03,"Villarreal","Espanol",14,17
2019-02-04,"Vallecano","Leganes",15,13
2019-02-08,"Valladolid","Villarreal",9,7
2019-02-09,"Ath Madrid","Real Madrid",11,11
2019-02-09,"Espanol","Vallecano",15,9
2019-02-09,"Getafe","Celta",12,13
2019-02-09,"Girona","Huesca",13,6
2019-02-10,"Ath Bilbao","Barcelona",13,10
2019-02-10,"Leganes","Betis",16,3
2019-02-10,"Sevilla","Eibar",13,8
2019-02-10,"Valencia","Sociedad",10,8
2019-02-11,"Alaves","Levante",16,8
2019-02-15,"Eibar","Getafe",11,7
2019-02-16,"Barcelona","Valladolid",20,10
2019-02-16,"Celta","Levante",14,14
2019-02-16,"Sociedad","Leganes",15,8
2019-02-16,"Vallecano","Ath Madrid",12,4
2019-02-17,"Betis","Alaves",19,6
2019-02-17,"Real Madrid","Girona",19,14
2019-02-17,"Valencia","Espanol",21,6
2019-02-17,"Villarreal","Sevilla",12,21
2019-02-18,"Huesca","Ath Bilbao",12,9
2019-02-22,"Espanol","Huesca",13,13
2019-02-23,"Alaves","Celta",17,8
2019-02-23,"Ath Bilbao","Eibar",9,7
2019-02-23,"Getafe","Vallecano",11,7
2019-02-23,"Sevilla","Barcelona",13,17
2019-02-24,"Ath Madrid","Villarreal",15,14
2019-02-24,"Leganes","Valencia",17,6
2019-02-24,"Levante","Real Madrid",11,19
2019-02-24,"Valladolid","Betis",10,6
2019-02-25,"Girona","Sociedad",10,7
2019-03-01,"Vallecano","Girona",9,12
2019-03-02,"Espanol","Valladolid",15,14
2019-03-02,"Huesca","Sevilla",7,12
2019-03-02,"Real Madrid","Barcelona",17,10
2019-03-02,"Villarreal","Alaves",9,10
2019-03-03,"Betis","Getafe",6,11
2019-03-03,"Eibar","Celta",15,3
2019-03-03,"Sociedad","Ath Madrid",19,8
2019-03-03,"Valencia","Ath Bilbao",11,4
2019-03-04,"Leganes","Levante",14,15
2019-03-08,"Ath Bilbao","Espanol",15,5
2019-03-09,"Alaves","Eibar",16,20
2019-03-09,"Ath Madrid","Leganes",13,3
2019-03-09,"Barcelona","Vallecano",12,8
2019-03-09,"Getafe","Huesca",14,8
2019-03-10,"Celta","Betis",7,14
2019-03-10,"Girona","Valencia",18,11
2019-03-10,"Levante","Villarreal",11,13
2019-03-10,"Sevilla","Sociedad",22,9
2019-03-10,"Valladolid","Real Madrid",10,15
2019-03-15,"Sociedad","Levante",22,8
2019-03-16,"Ath Bilbao","Ath Madrid",9,9
2019-03-16,"Huesca","Alaves",7,12
2019-03-16,"Leganes","Girona",12,8
2019-03-16,"Real Madrid","Celta",22,6
2019-03-17,"Betis","Barcelona",13,16
2019-03-17,"Eibar","Valladolid",15,8
2019-03-17,"Espanol","Sevilla",13,12
2019-03-17,"Valencia","Getafe",8,9
2019-03-17,"Villarreal","Vallecano",12,7
2019-03-29,"Girona","Ath Bilbao",6,8
2019-03-30,"Alaves","Ath Madrid",14,11
2019-03-30,"Barcelona","Espanol",13,4
2019-03-30,"Celta","Villarreal",15,14
2019-03-30,"Getafe","Leganes",9,7
2019-03-31,"Levante","Eibar",7,17
2019-03-31,"Real Madrid","Huesca",16,16
2019-03-31,"Sevilla","Valencia",17,4
2019-03-31,"Valladolid","Sociedad",10,10
2019-03-31,"Vallecano","Betis",20,7
2019-04-02,"Ath Madrid","Girona",17,12
2019-04-02,"Espanol","Getafe",9,13
2019-04-02,"Villarreal","Barcelona",16,15
2019-04-03,"Ath Bilbao","Levante",14,11
2019-04-03,"Eibar","Vallecano",12,13
2019-04-03,"Huesca","Celta",23,11
2019-04-03,"Valencia","Real Madrid",11,15
2019-04-04,"Leganes","Valladolid",18,8
2019-04-04,"Sevilla","Alaves",18,5
2019-04-04,"Sociedad","Betis",15,11
2019-04-06,"Barcelona","Ath Madrid",21,9
2019-04-06,"Girona","Espanol",14,9
2019-04-06,"Real Madrid","Eibar",13,3
2019-04-06,"Vallecano","Valencia",15,12
2019-04-07,"Alaves","Leganes",6,9
2019-04-07,"Betis","Villarreal",17,10
2019-04-07,"Celta","Sociedad",11,14
2019-04-07,"Getafe","Ath Bilbao",6,9
2019-04-07,"Levante","Huesca",14,17
2019-04-07,"Valladolid","Sevilla",10,16
2019-04-13,"Ath Madrid","Celta",11,10
2019-04-13,"Espanol","Alaves",6,14
2019-04-13,"Huesca","Barcelona",6,10
2019-04-13,"Sevilla","Betis",11,12
2019-04-14,"Ath Bilbao","Vallecano",15,8
2019-04-14,"Girona","Villarreal",14,17
2019-04-14,"Sociedad","Eibar",3,17
2019-04-14,"Valencia","Levante",23,6
2019-04-14,"Valladolid","Getafe",8,8
2019-04-15,"Leganes","Real Madrid",5,13
2019-04-19,"Alaves","Valladolid",10,12
2019-04-20,"Barcelona","Sociedad",11,9
2019-04-20,"Celta","Girona",13,9
2019-04-20,"Eibar","Ath Madrid",10,8
2019-04-20,"Vallecano","Huesca",16,10
2019-04-21,"Betis","Valencia",23,4
2019-04-21,"Getafe","Sevilla",10,12
2019-04-21,"Levante","Espanol",19,14
2019-04-21,"Real Madrid","Ath Bilbao",11,5
2019-04-21,"Villarreal","Leganes",11,6
2019-04-23,"Alaves","Barcelona",6,17
2019-04-23,"Huesca","Eibar",12,7
2019-04-23,"Valladolid","Girona",13,6
2019-04-24,"Ath Madrid","Valencia",14,12
2019-04-24,"Espanol","Celta",9,18
2019-04-24,"Leganes","Ath Bilbao",14,3
2019-04-24,"Levante","Betis",6,7
2019-04-25,"Getafe","Real Madrid",9,12
2019-04-25,"Sevilla","Vallecano",20,12
2019-04-25,"Sociedad","Villarreal",13,8
2019-04-27,"Ath Bilbao","Alaves",14,14
2019-04-27,"Ath Madrid","Valladolid",13,13
2019-04-27,"Barcelona","Levante",23,7
2019-04-27,"Leganes","Celta",10,8
2019-04-28,"Girona","Sevilla",15,7
2019-04-28,"Sociedad","Getafe",11,12
2019-04-28,"Valencia","Eibar",7,13
2019-04-28,"Vallecano","Real Madrid",11,9
2019-04-28,"Villarreal","Huesca",18,13
2019-04-29,"Betis","Espanol",18,10
2019-05-03,"Sevilla","Leganes",7,9
2019-05-04,"Alaves","Sociedad",17,9
2019-05-04,"Celta","Barcelona",14,8
2019-05-04,"Espanol","Ath Madrid",11,11
2019-05-04,"Levante","Vallecano",12,20
2019-05-05,"Eibar","Betis",14,12
2019-05-05,"Getafe","Girona",13,4
2019-05-05,"Huesca","Valencia",24,10
2019-05-05,"Real Madrid","Villarreal",24,15
2019-05-05,"Valladolid","Ath Bilbao",10,9
2019-05-12,"Ath Bilbao","Celta",8,3
2019-05-12,"Ath Madrid","Sevilla",11,11
2019-05-12,"Barcelona","Getafe",13,11
2019-05-12,"Betis","Huesca",17,9
2019-05-12,"Girona","Levante",14,6
2019-05-12,"Leganes","Espanol",11,19
2019-05-12,"Sociedad","Real Madrid",19,6
2019-05-12,"Valencia","Alaves",10,10
2019-05-12,"Vallecano","Valladolid",16,9
2019-05-12,"Villarreal","Eibar",11,4
2019-05-18,"Alaves","Girona",14,13
2019-05-18,"Celta","Vallecano",14,11
2019-05-18,"Espanol","Sociedad",9,11
2019-05-18,"Getafe","Villarreal",17,8
2019-05-18,"Huesca","Leganes",15,9
2019-05-18,"Levante","Ath Madrid",17,17
2019-05-18,"Sevilla","Ath Bilbao",9,9
2019-05-18,"Valladolid","Valencia",19,9
2019-05-19,"Eibar","Barcelona",15,6
2019-05-19,"Real Madrid","Betis",9,9
2019-08-16,"Ath Bilbao","Barcelona",11,11
2019-08-17,"Celta","Real Madrid",7,17
2019-08-17,"Valencia","Sociedad",14,12
2019-08-17,"Mallorca","Eibar",16,11
2019-08-17,"Leganes","Osasuna",13,4
2019-08-17,"Villarreal","Granada",12,14
2019-08-18,"Alaves","Levante",9,16
2019-08-18,"Espanol","Sevilla",7,12
2019-08-18,"Betis","Valladolid",13,14
2019-08-18,"Ath Madrid","Getafe",5,6
2019-08-23,"Granada","Sevilla",12,11
2019-08-23,"Levante","Villarreal",16,23
2019-08-24,"Osasuna","Eibar",6,12
2019-08-24,"Real Madrid","Valladolid",22,9
2019-08-24,"Celta","Valencia",11,9
2019-08-24,"Getafe","Ath Bilbao",6,4
2019-08-25,"Alaves","Espanol",10,5
2019-08-25,"Mallorca","Sociedad",12,12
2019-08-25,"Leganes","Ath Madrid",10,6
2019-08-25,"Barcelona","Betis",20,4
2019-08-30,"Sevilla","Celta",19,2
2019-08-30,"Ath Bilbao","Sociedad",15,2
2019-08-31,"Osasuna","Barcelona",15,8
2019-08-31,"Getafe","Alaves",15,5
2019-08-31,"Levante","Valladolid",16,15
2019-08-31,"Betis","Leganes",17,19
2019-09-01,"Valencia","Mallorca",9,12
2019-09-01,"Ath Madrid","Eibar",7,6
2019-09-01,"Espanol","Granada",15,14
2019-09-01,"Villarreal","Real Madrid",10,17
2019-09-13,"Mallorca","Ath Bilbao",10,11
2019-09-14,"Real Madrid","Levante",25,8
2019-09-14,"Leganes","Villarreal",10,8
2019-09-14,"Sociedad","Ath Madrid",14,12
2019-09-14,"Barcelona","Valencia",17,9
2019-09-15,"Eibar","Espanol",11,7
2019-09-15,"Alaves","Sevilla",7,19
2019-09-15,"Celta","Granada",4,13
2019-09-15,"Valladolid","Osasuna",11,17
2019-09-15,"Betis","Getafe",7,12
2019-09-20,"Osasuna","Betis",12,7
2019-09-21,"Villarreal","Valladolid",18,7
2019-09-21,"Levante","Eibar",13,18
2019-09-21,"Ath Madrid","Celta",20,6
2019-09-21,"Granada","Barcelona",9,8
2019-09-22,"Getafe","Mallorca",14,7
2019-09-22,"Espanol","Sociedad",17,10
2019-09-22,"Valencia","Leganes",13,13
2019-09-22,"Ath Bilbao","Alaves",13,5
2019-09-22,"Sevilla","Real Madrid",9,7
2019-09-24,"Valladolid","Granada",9,6
2019-09-24,"Betis","Levante",17,17
2019-09-24,"Barcelona","Villarreal",8,11
2019-09-25,"Leganes","Ath Bilbao",7,9
2019-09-25,"Mallorca","Ath Madrid",9,13
2019-09-25,"Valencia","Getafe",8,18
2019-09-25,"Real Madrid","Osasuna",15,4
2019-09-26,"Eibar","Sevilla",11,7
2019-09-26,"Celta","Espanol",14,10
2019-09-26,"Sociedad","Alaves",21,5
2019-09-27,"Villarreal","Betis",17,11
2019-09-28,"Ath Bilbao","Valencia",14,10
2019-09-28,"Getafe","Barcelona",8,10
2019-09-28,"Granada","Leganes",11,15
2019-09-28,"Ath Madrid","Real Madrid",7,14
2019-09-29,"Espanol","Valladolid",16,9
2019-09-29,"Eibar","Celta",7,3
2019-09-29,"Alaves","Mallorca",11,5
2019-09-29,"Levante","Osasuna",10,18
2019-09-29,"Sevilla","Sociedad",21,5
2019-10-04,"Betis","Eibar",12,8
2019-10-05,"Leganes","Levante",25,9
2019-10-05,"Real Madrid","Granada",17,8
2019-10-05,"Valencia","Alaves",11,10
2019-10-05,"Osasuna","Villarreal",16,16
2019-10-06,"Mallorca","Espanol",9,11
2019-10-06,"Celta","Ath Bilbao",13,6
2019-10-06,"Valladolid","Ath Madrid",5,9
2019-10-06,"Sociedad","Getafe",6,13
2019-10-06,"Barcelona","Sevilla",15,16
2019-10-18,"Granada","Osasuna",6,9
2019-10-19,"Eibar","Barcelona",5,9
2019-10-19,"Ath Madrid","Valencia",15,11
2019-10-19,"Getafe","Leganes",5,7
2019-10-19,"Mallorca","Real Madrid",5,13
2019-10-20,"Alaves","Celta",12,14
2019-10-20,"Sociedad","Betis",18,12
2019-10-20,"Espanol","Villarreal",18,11
2019-10-20,"Ath Bilbao","Valladolid",19,9
2019-10-20,"Sevilla","Levante",19,12
2019-10-25,"Villarreal","Alaves",19,12
2019-10-26,"Leganes","Mallorca",9,9
2019-10-26,"Valladolid","Eibar",8,13
2019-10-26,"Ath Madrid","Ath Bilbao",9,9
2019-10-27,"Celta","Sociedad",9,9
2019-10-27,"Granada","Betis",13,12
2019-10-27,"Levante","Espanol",7,14
2019-10-27,"Sevilla","Getafe",15,9
2019-10-27,"Osasuna","Valencia",21,2
2019-10-29,"Alaves","Ath Madrid",11,9
2019-10-29,"Barcelona","Valladolid",18,9
2019-10-30,"Sociedad","Levante",17,13
2019-10-30,"Valencia","Sevilla",10,10
2019-10-30,"Ath Bilbao","Espanol",7,12
2019-10-30,"Betis","Celta",11,18
2019-10-30,"Real Madrid","Leganes",22,5
2019-10-31,"Eibar","Villarreal",25,9
2019-10-31,"Mallorca","Osasuna",11,12
2019-10-31,"Getafe","Granada",8,10
2019-11-02,"Espanol","Valencia",13,11
2019-11-02,"Levante","Barcelona",9,9
2019-11-02,"Sevilla","Ath Madrid",11,14
2019-11-02,"Real Madrid","Betis",22,13
2019-11-03,"Valladolid","Mallorca",12,14
2019-11-03,"Villarreal","Ath Bilbao",11,12
2019-11-03,"Osasuna","Alaves",19,11
2019-11-03,"Celta","Getafe",6,9
2019-11-03,"Leganes","Eibar",12,7
2019-11-03,"Granada","Sociedad",5,9
2019-11-08,"Sociedad","Leganes",11,6
2019-11-09,"Alaves","Valladolid",14,7
2019-11-09,"Valencia","Granada",12,13
2019-11-09,"Eibar","Real Madrid",14,10
2019-11-09,"Barcelona","Celta",10,6
2019-11-10,"Mallorca","Villarreal",5,22
2019-11-10,"Ath Bilbao","Levante",23,8
2019-11-10,"Ath Madrid","Espanol",18,10
2019-11-10,"Getafe","Osasuna",14,4
2019-11-10,"Betis","Sevilla",18,10
2019-11-22,"Levante","Mallorca",13,14
2019-11-23,"Leganes","Barcelona",9,11
2019-11-23,"Betis","Valencia",25,9
2019-11-23,"Granada","Ath Madrid",9,17
2019-11-23,"Real Madrid","Sociedad",18,11
2019-11-24,"Espanol","Getafe",6,11
2019-11-24,"Osasuna","Ath Bilbao",12,6
2019-11-24,"Eibar","Alaves",18,7
2019-11-24,"Villarreal","Celta",15,11
2019-11-24,"Valladolid","Sevilla",7,4
2019-11-29,"Celta","Valladolid",13,9
2019-11-30,"Alaves","Real Madrid",8,12
2019-11-30,"Sociedad","Eibar",15,10
2019-11-30,"Mallorca","Betis",16,15
2019-11-30,"Valencia","Villarreal",13,24
2019-12-01,"Sevilla","Leganes",16,8
2019-12-01,"Ath Bilbao","Granada",14,8
2019-12-01,"Espanol","Osasuna",12,14
2019-12-01,"Getafe","Levante",13,7
2019-12-01,"Ath Madrid","Barcelona",17,13
2019-12-06,"Villarreal","Ath Madrid",23,18
2019-12-07,"Real Madrid","Espanol",18,6
2019-12-07,"Granada","Alaves",13,5
2019-12-07,"Levante","Valencia",17,10
2019-12-07,"Barcelona","Mallorca",25,9
2019-12-08,"Eibar","Getafe",6,6
2019-12-08,"Betis","Ath Bilbao",10,8
2019-12-08,"Valladolid","Sociedad",4,16
2019-12-08,"Leganes","Celta",15,9
2019-12-08,"Osasuna","Sevilla",10,13
2019-12-13,"Alaves","Leganes",10,3
2019-12-14,"Granada","Levante",18,13
2019-12-14,"Sociedad","Barcelona",19,9
2019-12-14,"Ath Bilbao","Eibar",8,8
2019-12-14,"Ath Madrid","Osasuna",19,15
2019-12-15,"Getafe","Valladolid",7,10
2019-12-15,"Celta","Mallorca",18,8
2019-12-15,"Espanol","Betis",16,10
2019-12-15,"Sevilla","Villarreal",24,9
2019-12-15,"Valencia","Real Madrid",9,19
2019-12-18,"Barcelona","Real Madrid",9,17
2019-12-20,"Eibar","Granada",21,12
2019-12-21,"Mallorca","Sevilla",8,13
2019-12-21,"Barcelona","Alaves",8,5
2019-12-21,"Villarreal","Getafe",11,7
2019-12-21,"Valladolid","Valencia",14,5
2019-12-22,"Leganes","Espanol",11,9
2019-12-22,"Osasuna","Sociedad",19,13
2019-12-22,"Betis","Ath Madrid",15,8
2019-12-22,"Levante","Celta",13,12
2019-12-22,"Real Madrid","Ath Bilbao",20,8
2020-01-03,"Valladolid","Leganes",14,12
2020-01-03,"Sevilla","Ath Bilbao",9,6
2020-01-04,"Valencia","Eibar",9,10
2020-01-04,"Getafe","Real Madrid",15,10
2020-01-04,"Ath Madrid","Levante",17,6
2020-01-04,"Espanol","Barcelona",8,14
2020-01-05,"Granada","Mallorca",7,17
2020-01-05,"Sociedad","Villarreal",10,14
2020-01-05,"Alaves","Betis",6,10
2020-01-05,"Celta","Osasuna",20,8
2020-01-17,"Leganes","Getafe",8,8
2020-01-18,"Levante","Alaves",20,14
2020-01-18,"Real Madrid","Sevilla",13,8
2020-01-18,"Osasuna","Valladolid",21,5
2020-01-18,"Eibar","Ath Madrid",9,12
2020-01-19,"Mallorca","Valencia",13,8
2020-01-19,"Betis","Sociedad",14,7
2020-01-19,"Villarreal","Espanol",21,16
2020-01-19,"Ath Bilbao","Celta",22,7
2020-01-19,"Barcelona","Granada",18,5
2020-01-24,"Osasuna","Levante",15,6
2020-01-25,"Espanol","Ath Bilbao",9,11
2020-01-25,"Valencia","Barcelona",8,14
2020-01-25,"Alaves","Villarreal",12,11
2020-01-25,"Sevilla","Granada",12,8
2020-01-26,"Ath Madrid","Leganes",14,10
2020-01-26,"Celta","Eibar",18,5
2020-01-26,"Getafe","Betis",7,8
2020-01-26,"Sociedad","Mallorca",14,8
2020-01-26,"Valladolid","Real Madrid",4,12
2020-02-01,"Granada","Espanol",8,22
2020-02-01,"Real Madrid","Ath Madrid",16,4
2020-02-01,"Mallorca","Valladolid",16,15
2020-02-01,"Valencia","Celta",9,11
2020-02-02,"Leganes","Sociedad",12,2
2020-02-02,"Eibar","Betis",8,14
2020-02-02,"Ath Bilbao","Getafe",8,9
2020-02-02,"Sevilla","Alaves",14,4
2020-02-02,"Villarreal","Osasuna",9,17
2020-02-02,"Barcelona","Levante",23,10
2020-02-07,"Alaves","Eibar",9,5
2020-02-08,"Levante","Leganes",9,12
2020-02-08,"Getafe","Valencia",22,5
2020-02-08,"Valladolid","Villarreal",8,8
2020-02-08,"Ath Madrid","Granada",6,10
2020-02-09,"Espanol","Mallorca",12,7
2020-02-09,"Sociedad","Ath Bilbao",14,6
2020-02-09,"Osasuna","Real Madrid",14,17
2020-02-09,"Celta","Sevilla",13,12
2020-02-09,"Betis","Barcelona",7,10
2020-02-14,"Valencia","Ath Madrid",9,8
2020-02-15,"Mallorca","Alaves",14,10
2020-02-15,"Barcelona","Getafe",12,7
2020-02-15,"Villarreal","Levante",14,11
2020-02-15,"Granada","Valladolid",11,6
2020-02-16,"Sevilla","Espanol",18,5
2020-02-16,"Leganes","Betis",11,3
2020-02-16,"Ath Bilbao","Osasuna",12,6
2020-02-16,"Real Madrid","Celta",15,5
2020-02-21,"Betis","Mallorca",19,11
2020-02-22,"Celta","Leganes",3,11
2020-02-22,"Barcelona","Eibar",13,12
2020-02-22,"Sociedad","Valencia",19,6
2020-02-22,"Levante","Real Madrid",8,19
2020-02-23,"Osasuna","Granada",14,10
2020-02-23,"Alaves","Ath Bilbao",4,13
2020-02-23,"Valladolid","Espanol",21,6
2020-02-23,"Getafe","Sevilla",10,8
2020-02-23,"Ath Madrid","Villarreal",16,10
2020-02-28,"Sociedad","Valladolid",13,6
2020-02-29,"Eibar","Levante",13,11
2020-02-29,"Valencia","Betis",10,14
2020-02-29,"Leganes","Alaves",19,8
2020-02-29,"Granada","Celta",14,6
2020-03-01,"Sevilla","Osasuna",12,14
2020-03-01,"Ath Bilbao","Villarreal",18,10
2020-03-01,"Espanol","Ath Madrid",9,5
2020-03-01,"Mallorca","Getafe",4,9
2020-03-01,"Real Madrid","Barcelona",13,9
2020-03-06,"Alaves","Valencia",13,6
2020-03-07,"Eibar","Mallorca",13,10
2020-03-07,"Ath Madrid","Sevilla",21,12
2020-03-07,"Barcelona","Sociedad",13,9
2020-03-07,"Getafe","Celta",19,3
2020-03-08,"Osasuna","Espanol",17,8
2020-03-08,"Valladolid","Ath Bilbao",19,10
2020-03-08,"Levante","Granada",11,10
2020-03-08,"Villarreal","Leganes",15,12
2020-03-08,"Betis","Real Madrid",14,13
2020-03-10,"Eibar","Sociedad",13,6
2020-06-11,"Sevilla","Betis",13,12
2020-06-12,"Granada","Getafe",10,6
2020-06-12,"Valencia","Levante",12,14
2020-06-13,"Espanol","Alaves",19,1
2020-06-13,"Celta","Villarreal",4,15
2020-06-13,"Leganes","Valladolid",11,6
2020-06-13,"Mallorca","Barcelona",13,12
2020-06-14,"Ath Bilbao","Ath Madrid",10,9
2020-06-14,"Real Madrid","Eibar",6,9
2020-06-14,"Sociedad","Osasuna",9,8
2020-06-15,"Levante","Sevilla",11,10
2020-06-15,"Betis","Granada",18,8
2020-06-16,"Getafe","Espanol",21,5
2020-06-16,"Villarreal","Mallorca",10,15
2020-06-16,"Barcelona","Leganes",10,6
2020-06-17,"Eibar","Ath Bilbao",12,6
2020-06-17,"Valladolid","Celta",6,11
2020-06-17,"Osasuna","Ath Madrid",13,10
2020-06-18,"Alaves","Sociedad",15,9
2020-06-18,"Real Madrid","Valencia",19,4
2020-06-19,"Granada","Villarreal",14,5
2020-06-19,"Mallorca","Leganes",7,16
2020-06-19,"Sevilla","Barcelona",8,10
2020-06-20,"Espanol","Levante",10,14
2020-06-20,"Ath Bilbao","Betis",12,9
2020-06-20,"Getafe","Eibar",9,8
2020-06-20,"Ath Madrid","Valladolid",15,6
2020-06-21,"Celta","Alaves",15,4
2020-06-21,"Valencia","Osasuna",7,13
2020-06-21,"Sociedad","Real Madrid",10,10
2020-06-22,"Villarreal","Sevilla",7,14
2020-06-22,"Leganes","Granada",9,4
2020-06-23,"Levante","Ath Madrid",12,12
2020-06-23,"Valladolid","Getafe",6,15
2020-06-23,"Barcelona","Ath Bilbao",18,6
2020-06-24,"Alaves","Osasuna",5,7
2020-06-24,"Sociedad","Celta",13,4
2020-06-24,"Real Madrid","Mallorca",14,11
2020-06-25,"Eibar","Valencia",14,7
2020-06-25,"Betis","Espanol",13,9
2020-06-26,"Sevilla","Valladolid",15,11
2020-06-27,"Ath Bilbao","Mallorca",12,14
2020-06-27,"Celta","Barcelona",10,18
2020-06-27,"Osasuna","Leganes",6,21
2020-06-27,"Ath Madrid","Alaves",14,6
2020-06-28,"Levante","Betis",9,17
2020-06-28,"Villarreal","Valencia",17,4
2020-06-28,"Granada","Eibar",14,13
2020-06-28,"Espanol","Real Madrid",8,14
2020-06-29,"Getafe","Sociedad",11,5
2020-06-30,"Mallorca","Celta",9,12
2020-06-30,"Leganes","Sevilla",9,11
2020-06-30,"Barcelona","Ath Madrid",12,10
2020-07-01,"Alaves","Granada",11,7
2020-07-01,"Valencia","Ath Bilbao",10,12
2020-07-01,"Betis","Villarreal",9,15
2020-07-01,"Valladolid","Levante",15,8
2020-07-02,"Eibar","Osasuna",11,9
2020-07-02,"Sociedad","Espanol",12,4
2020-07-02,"Real Madrid","Getafe",8,10
2020-07-03,"Ath Madrid","Mallorca",15,13
2020-07-04,"Celta","Betis",5,10
2020-07-04,"Valladolid","Alaves",5,7
2020-07-04,"Granada","Valencia",17,4
2020-07-05,"Ath Bilbao","Real Madrid",7,10
2020-07-05,"Espanol","Leganes",7,4
2020-07-05,"Osasuna","Getafe",6,6
2020-07-05,"Villarreal","Barcelona",11,18
2020-07-06,"Levante","Sociedad",9,8
2020-07-06,"Sevilla","Eibar",8,19
2020-07-07,"Valencia","Valladolid",10,11
2020-07-07,"Celta","Ath Madrid",9,10
2020-07-08,"Betis","Osasuna",14,8
2020-07-08,"Getafe","Villarreal",5,6
2020-07-08,"Barcelona","Espanol",9,11
2020-07-09,"Eibar","Leganes",4,10
2020-07-09,"Mallorca","Levante",15,14
2020-07-09,"Ath Bilbao","Sevilla",13,20
2020-07-10,"Sociedad","Granada",19,4
2020-07-10,"Real Madrid","Alaves",18,10
2020-07-11,"Osasuna","Celta",15,12
2020-07-11,"Valladolid","Barcelona",13,9
2020-07-11,"Ath Madrid","Betis",9,21
2020-07-12,"Espanol","Eibar",14,11
2020-07-12,"Levante","Ath Bilbao",5,12
2020-07-12,"Leganes","Valencia",10,16
2020-07-12,"Sevilla","Mallorca",14,14
2020-07-13,"Alaves","Getafe",3,14
2020-07-13,"Villarreal","Sociedad",9,11
2020-07-13,"Granada","Real Madrid",13,11
2020-07-16,"Eibar","Valladolid",13,17
2020-07-16,"Ath Bilbao","Leganes",10,16
2020-07-16,"Barcelona","Osasuna",19,9
2020-07-16,"Betis","Alaves",14,9
2020-07-16,"Celta","Levante",16,8
2020-07-16,"Getafe","Ath Madrid",15,11
2020-07-16,"Mallorca","Granada",18,14
2020-07-16,"Real Madrid","Villarreal",12,8
2020-07-16,"Sociedad","Sevilla",11,8
2020-07-16,"Valencia","Espanol",9,18
2020-07-19,"Alaves","Barcelona",8,16
2020-07-19,"Valladolid","Betis",13,10
2020-07-19,"Villarreal","Eibar",12,11
2020-07-19,"Ath Madrid","Sociedad",6,10
2020-07-19,"Espanol","Celta",8,9
2020-07-19,"Granada","Ath Bilbao",11,11
2020-07-19,"Leganes","Real Madrid",15,7
2020-07-19,"Levante","Getafe",13,13
2020-07-19,"Osasuna","Mallorca",12,12
2020-07-19,"Sevilla","Valencia",16,8
